#unit	member	kind	digest
lowlevel.math.MathUtils	lowlevel.math.MathUtils	class	7776864be30bce03
lowlevel.math.MathUtils	lowlevel.math.MathUtils#BIG_ENOUGH_FLOOR	val	d717e5a305a4f292
lowlevel.math.MathUtils	lowlevel.math.MathUtils#BIG_ENOUGH_INT	val	001749989e681724
lowlevel.math.MathUtils	lowlevel.math.MathUtils#BIG_ENOUGH_ROUND	val	cffa23ea41cf977f
lowlevel.math.MathUtils	lowlevel.math.MathUtils#CEIL	val	51eb35d5864ea11c
lowlevel.math.MathUtils	lowlevel.math.MathUtils#E	val	4d39863f621a04f0
lowlevel.math.MathUtils	lowlevel.math.MathUtils#FLOAT_ROUNDING_ERROR	val	bf6ee4f01104b18c
lowlevel.math.MathUtils	lowlevel.math.MathUtils#HALF_PI	val	dca25669fd21c5fd
lowlevel.math.MathUtils	lowlevel.math.MathUtils#PI	val	8e16f4b4ebd93aba
lowlevel.math.MathUtils	lowlevel.math.MathUtils#PI2	val	7620a30448058b30
lowlevel.math.MathUtils	lowlevel.math.MathUtils#SIN_BITS	val	f850b164b32c5a07
lowlevel.math.MathUtils	lowlevel.math.MathUtils#SIN_COUNT	val	075a7dda9c49a77f
lowlevel.math.MathUtils	lowlevel.math.MathUtils#SIN_MASK	val	935097831adb72fb
lowlevel.math.MathUtils	lowlevel.math.MathUtils#acos(float)	def	550cc89bd41c01e7
lowlevel.math.MathUtils	lowlevel.math.MathUtils#acosDeg(float)	def	bbfff1582b2fe5d8
lowlevel.math.MathUtils	lowlevel.math.MathUtils#asin(float)	def	fab2032a452a4c90
lowlevel.math.MathUtils	lowlevel.math.MathUtils#asinDeg(float)	def	fc75d604b593d01c
lowlevel.math.MathUtils	lowlevel.math.MathUtils#atan(float)	def	566a429873eb237a
lowlevel.math.MathUtils	lowlevel.math.MathUtils#atan2(float,float)	def	86c10409feb98931
lowlevel.math.MathUtils	lowlevel.math.MathUtils#atan2Deg(float,float)	def	1f32595d743dbae1
lowlevel.math.MathUtils	lowlevel.math.MathUtils#atan2Deg360(float,float)	def	816c0aa116a9d646
lowlevel.math.MathUtils	lowlevel.math.MathUtils#atanDeg(float)	def	ca912dc16c450ebf
lowlevel.math.MathUtils	lowlevel.math.MathUtils#atanUnchecked(double)	def	16242416c26c155b
