#unit	member	kind	digest
ssg.md.ext.abbreviation.Abbreviation	ssg.md.ext.abbreviation.Abbreviation	class	68a987c8df64db1d
ssg.md.ext.abbreviation.Abbreviation	ssg.md.ext.abbreviation.Abbreviation#<stmt1>	stmt	f2a2a46339290132
ssg.md.ext.abbreviation.Abbreviation	ssg.md.ext.abbreviation.Abbreviation#abbreviation	val	6a980e29a1b7a8dc
ssg.md.ext.abbreviation.Abbreviation	ssg.md.ext.abbreviation.Abbreviation#getAbbreviation()	def	b5194882ce528ca1
ssg.md.ext.abbreviation.Abbreviation	ssg.md.ext.abbreviation.Abbreviation#getAstExtra(StringBuilder)	def	d249b6cfb0e4d828
ssg.md.ext.abbreviation.Abbreviation	ssg.md.ext.abbreviation.Abbreviation#getReference()	def	641f890239f8712f
ssg.md.ext.abbreviation.Abbreviation	ssg.md.ext.abbreviation.Abbreviation#getReferenceNode(AbbreviationRepository)	def	4e75e74f9bc8acd1
ssg.md.ext.abbreviation.Abbreviation	ssg.md.ext.abbreviation.Abbreviation#getReferenceNode(Document)	def	3492fb1aa6e4922a
ssg.md.ext.abbreviation.Abbreviation	ssg.md.ext.abbreviation.Abbreviation#getSegments()	def	2a8c37a5726a8369
ssg.md.ext.abbreviation.Abbreviation	ssg.md.ext.abbreviation.Abbreviation#isDefined()	def	67479eaeaa43c67b
ssg.md.ext.abbreviation.Abbreviation	ssg.md.ext.abbreviation.Abbreviation#toStringAttributes()	def	e9d276eb6ed9a292
ssg.md.ext.abbreviation.AbbreviationBlock	ssg.md.ext.abbreviation.AbbreviationBlock	class	0205b88fdff2d504
ssg.md.ext.abbreviation.AbbreviationBlock	ssg.md.ext.abbreviation.AbbreviationBlock#<init>(BasedSequence)	ctor	2f5cfc98896beb36
ssg.md.ext.abbreviation.AbbreviationBlock	ssg.md.ext.abbreviation.AbbreviationBlock#abbreviation	val	ea03bdde6c0ccbd8
ssg.md.ext.abbreviation.AbbreviationBlock	ssg.md.ext.abbreviation.AbbreviationBlock#closingMarker	val	c9ee6bb68ab1aee5
ssg.md.ext.abbreviation.AbbreviationBlock	ssg.md.ext.abbreviation.AbbreviationBlock#compareTo(AbbreviationBlock)	def	ea96e94e3df8f9ff
ssg.md.ext.abbreviation.AbbreviationBlock	ssg.md.ext.abbreviation.AbbreviationBlock#getAbbreviation()	def	b5194882ce528ca1
ssg.md.ext.abbreviation.AbbreviationBlock	ssg.md.ext.abbreviation.AbbreviationBlock#getAstExtra(StringBuilder)	def	fa451a7aaac65b6e
ssg.md.ext.abbreviation.AbbreviationBlock	ssg.md.ext.abbreviation.AbbreviationBlock#getClosingMarker()	def	17a28e7810415433
ssg.md.ext.abbreviation.AbbreviationBlock	ssg.md.ext.abbreviation.AbbreviationBlock#getOpeningMarker()	def	313b4c67749a6b8d
ssg.md.ext.abbreviation.AbbreviationBlock	ssg.md.ext.abbreviation.AbbreviationBlock#getReferencingNode(Node)	def	7a5cfd17446e137e
ssg.md.ext.abbreviation.AbbreviationBlock	ssg.md.ext.abbreviation.AbbreviationBlock#getSegments()	def	c264f7c5331bc3ed
ssg.md.ext.abbreviation.AbbreviationBlock	ssg.md.ext.abbreviation.AbbreviationBlock#getText()	def	3da0c428a2e750e8
ssg.md.ext.abbreviation.AbbreviationBlock	ssg.md.ext.abbreviation.AbbreviationBlock#openingMarker	val	d8b45cb3534fb298
ssg.md.ext.abbreviation.AbbreviationBlock	ssg.md.ext.abbreviation.AbbreviationBlock#setAbbreviation(BasedSequence)	def	1db731806bc6e242
ssg.md.ext.abbreviation.AbbreviationBlock	ssg.md.ext.abbreviation.AbbreviationBlock#setClosingMarker(BasedSequence)	def	63de15e116b03ab7
ssg.md.ext.abbreviation.AbbreviationBlock	ssg.md.ext.abbreviation.AbbreviationBlock#setOpeningMarker(BasedSequence)	def	1f85000de7611c5c
ssg.md.ext.abbreviation.AbbreviationBlock	ssg.md.ext.abbreviation.AbbreviationBlock#setText(BasedSequence)	def	2c3f1c6c74518179
ssg.md.ext.abbreviation.AbbreviationBlock	ssg.md.ext.abbreviation.AbbreviationBlock#text	val	80e9d467f6d0ea6e
ssg.md.ext.abbreviation.AbbreviationExtension	ssg.md.ext.abbreviation.AbbreviationExtension	class	9db92fa8c08726ca
ssg.md.ext.abbreviation.AbbreviationExtension	ssg.md.ext.abbreviation.AbbreviationExtension#ABBREVIATIONS	val	46287b3bc02cbca1
ssg.md.ext.abbreviation.AbbreviationExtension	ssg.md.ext.abbreviation.AbbreviationExtension#ABBREVIATIONS_KEEP	val	499ba9c148a02130
ssg.md.ext.abbreviation.AbbreviationExtension	ssg.md.ext.abbreviation.AbbreviationExtension#ABBREVIATIONS_PLACEMENT	val	81fb96a3cf8af997
ssg.md.ext.abbreviation.AbbreviationExtension	ssg.md.ext.abbreviation.AbbreviationExtension#ABBREVIATIONS_SORT	val	f3c6a8036a765774
ssg.md.ext.abbreviation.AbbreviationExtension	ssg.md.ext.abbreviation.AbbreviationExtension#MAKE_MERGED_ABBREVIATIONS_UNIQUE	val	99705df6145ba4dd
ssg.md.ext.abbreviation.AbbreviationExtension	ssg.md.ext.abbreviation.AbbreviationExtension#USE_LINKS	val	4d857027f1e6aa2f
ssg.md.ext.abbreviation.AbbreviationExtension	ssg.md.ext.abbreviation.AbbreviationExtension#create()	def	d591c1cf7d291a83
ssg.md.ext.abbreviation.AbbreviationExtension	ssg.md.ext.abbreviation.AbbreviationExtension#extend(Builder)	def	7737b011a9f49bbd
ssg.md.ext.abbreviation.AbbreviationExtension	ssg.md.ext.abbreviation.AbbreviationExtension#extend(Builder)	def	a5fc269d719ce4ce
ssg.md.ext.abbreviation.AbbreviationExtension	ssg.md.ext.abbreviation.AbbreviationExtension#extend(Builder,String)	def	31973da49638d10a
ssg.md.ext.abbreviation.AbbreviationExtension	ssg.md.ext.abbreviation.AbbreviationExtension#parserOptions(MutableDataHolder)	def	55bdf57bb16d44c0
ssg.md.ext.abbreviation.AbbreviationExtension	ssg.md.ext.abbreviation.AbbreviationExtension#rendererOptions(MutableDataHolder)	def	e3e165e739f41514
