#id	check	kind	owner	path	line	detail
fc17bc174bda	jdk-surface	unhandled	java.util.Arrays#toString(Object[])	com/badlogic/gdx/utils/JsonMatcherTests.java	1482	java.util.Arrays#toString(Object[]) — retyped to java.util.Arrays, no rewrite (2 site(s))
b68961cee003	jdk-surface	unhandled	java.util.Arrays#toString(float[])	com/badlogic/gdx/math/ConvexHullTest.java	58	java.util.Arrays#toString(float[]) — retyped to java.util.Arrays, no rewrite (1 site(s))
eecb2ac883ca	jdk-surface	unhandled	java.util.stream.Collectors#joining(CharSequence)	com/badlogic/gdx/utils/JsonMatcherTests.java	1581	java.util.stream.Collectors#joining(CharSequence) — retyped to java.util.stream.Collectors, no rewrite (1 site(s))
5145b089923e	omissions	annotation dropped	sge.math.BezierTest	<synthetic>	0	org.junit.runner.RunWith
ab1d363b2cf4	omissions	annotation dropped	sge.math.BezierTest#type	<synthetic>	0	org.junit.runners.Parameterized$Parameter
9711dfd807f0	omissions	annotation dropped	sge.math.BezierTest#useSetter	<synthetic>	0	org.junit.runners.Parameterized$Parameter
25cce13ad51c	portability(all)	java.lang.Class#forName	sge.utils.reflect.ClassReflection#forName	../src/com/badlogic/gdx/utils/reflect/ClassReflection.java	28	Call — runtime class lookup by name is JVM-only
b733a593e702	portability(all)	java.lang.Class#getConstructor	sge.utils.reflect.ClassReflection#getConstructor	../src/com/badlogic/gdx/utils/reflect/ClassReflection.java	122	Call — reflective member access is JVM-only
1480957cdb2b	portability(all)	java.lang.Class#getDeclaredConstructor	sge.utils.reflect.ClassReflection#getDeclaredConstructor	../src/com/badlogic/gdx/utils/reflect/ClassReflection.java	135	Call — reflective member access is JVM-only
14aeb46baf32	portability(all)	java.lang.Class#getDeclaredField	comparableTimSortField	com/badlogic/gdx/utils/SortTest.java	107	Call — reflective member access is JVM-only
14aeb46baf32/2	portability(all)	java.lang.Class#getDeclaredField	comparableTimSortField	com/badlogic/gdx/utils/SortTest.java	118	Call — reflective member access is JVM-only
14aeb46baf32/3	portability(all)	java.lang.Class#getDeclaredField	comparableTimSortField	com/badlogic/gdx/utils/SortTest.java	128	Call — reflective member access is JVM-only
a11906fd1aa1	portability(all)	java.lang.Class#getDeclaredField	sge.utils.reflect.ClassReflection#getDeclaredField	../src/com/badlogic/gdx/utils/reflect/ClassReflection.java	226	Call — reflective member access is JVM-only
6beaccabc3c4	portability(all)	java.lang.Class#getDeclaredField	timSortField	com/badlogic/gdx/utils/SortTest.java	138	Call — reflective member access is JVM-only
6beaccabc3c4/2	portability(all)	java.lang.Class#getDeclaredField	timSortField	com/badlogic/gdx/utils/SortTest.java	154	Call — reflective member access is JVM-only
6beaccabc3c4/3	portability(all)	java.lang.Class#getDeclaredField	timSortField	com/badlogic/gdx/utils/SortTest.java	170	Call — reflective member access is JVM-only
da5fba7d7aad	portability(all)	java.lang.Class#getDeclaredFields	fields	../src/com/badlogic/gdx/utils/reflect/ClassReflection.java	215	Call — reflective member access is JVM-only
a41ebcd17ad5	portability(all)	java.lang.Class#getDeclaredMethod	sge.utils.reflect.ClassReflection#getDeclaredMethod	../src/com/badlogic/gdx/utils/reflect/ClassReflection.java	184	Call — reflective member access is JVM-only
8b46afac69b4	portability(all)	java.lang.Class#getDeclaredMethods	methods	../src/com/badlogic/gdx/utils/reflect/ClassReflection.java	172	Call — reflective member access is JVM-only
3f7dd7e34c87	portability(all)	java.lang.Class#getField	sge.utils.reflect.ClassReflection#getField	../src/com/badlogic/gdx/utils/reflect/ClassReflection.java	205	Call — reflective member access is JVM-only
eefc0fcbf716	portability(all)	java.lang.Class#getFields	fields	../src/com/badlogic/gdx/utils/reflect/ClassReflection.java	194	Call — reflective member access is JVM-only
385c936d3481	portability(all)	java.lang.Class#getMethod	sge.utils.reflect.ClassReflection#getMethod	../src/com/badlogic/gdx/utils/reflect/ClassReflection.java	162	Call — reflective member access is JVM-only
80886bcc48ea	portability(all)	java.lang.Class#getMethods	methods	../src/com/badlogic/gdx/utils/reflect/ClassReflection.java	150	Call — reflective member access is JVM-only
7b07c851a630	portability(all)	java.lang.Class#newInstance	sge.utils.reflect.ClassReflection#newInstance	../src/com/badlogic/gdx/utils/reflect/ClassReflection.java	93	Call — reflective instantiation is JVM-only
7af9972f8be1	portability(all)	java.lang.Thread	sge.net.NetJavaImpl$88#newThread	../src/com/badlogic/gdx/net/NetJavaImpl.java	143	MemberType — threads do not exist on Scala.js
2b7307b9bff1	portability(all)	java.lang.Thread	sge.utils.PauseableThread	../src/com/badlogic/gdx/utils/PauseableThread.java	23	Extends — threads do not exist on Scala.js
1b109eb219be	portability(all)	java.lang.Thread	sge.utils.async.AsyncExecutor$165#newThread	../src/com/badlogic/gdx/utils/async/AsyncExecutor.java	46	MemberType — threads do not exist on Scala.js
b9316e19ce4c	portability(all)	java.lang.Thread	sge.utils.async.ThreadUtils#yield	../src/com/badlogic/gdx/utils/async/ThreadUtils.java	23	TermRef — threads do not exist on Scala.js
3954c9c5b635	portability(all)	java.lang.Thread	stack	../src/com/badlogic/gdx/graphics/profiling/GLErrorListener.java	41	TermRef — threads do not exist on Scala.js
e9cc46769a08	portability(all)	java.lang.Thread	thread	../src/com/badlogic/gdx/input/RemoteInput.java	230	Instantiate — threads do not exist on Scala.js
7a293795c193	portability(all)	java.lang.Thread	thread	../src/com/badlogic/gdx/input/RemoteInput.java	230	MemberType — threads do not exist on Scala.js
d1f9b2569e69	portability(all)	java.lang.Thread	thread	../src/com/badlogic/gdx/net/NetJavaImpl.java	144	Instantiate — threads do not exist on Scala.js
23d02b43b88b	portability(all)	java.lang.Thread	thread	../src/com/badlogic/gdx/net/NetJavaImpl.java	144	MemberType — threads do not exist on Scala.js
9c446a1bf713	portability(all)	java.lang.Thread	thread	../src/com/badlogic/gdx/utils/Timer.java	282	Instantiate — threads do not exist on Scala.js
5922816a694f	portability(all)	java.lang.Thread	thread	../src/com/badlogic/gdx/utils/Timer.java	282	MemberType — threads do not exist on Scala.js
97fba1ac74da	portability(all)	java.lang.Thread	thread	../src/com/badlogic/gdx/utils/async/AsyncExecutor.java	47	Instantiate — threads do not exist on Scala.js
3e0a112bbbfc	portability(all)	java.lang.Thread	thread	../src/com/badlogic/gdx/utils/async/AsyncExecutor.java	47	MemberType — threads do not exist on Scala.js
f8c7a47cf622	portability(all)	java.lang.reflect.Array	sge.utils.reflect.ArrayReflection#get	../src/com/badlogic/gdx/utils/reflect/ArrayReflection.java	35	TermRef — runtime reflection does not exist on Scala.js / Native
7bd6300bd43c	portability(all)	java.lang.reflect.Array	sge.utils.reflect.ArrayReflection#getLength	../src/com/badlogic/gdx/utils/reflect/ArrayReflection.java	30	TermRef — runtime reflection does not exist on Scala.js / Native
c64b266e021c	portability(all)	java.lang.reflect.Array	sge.utils.reflect.ArrayReflection#newInstance	../src/com/badlogic/gdx/utils/reflect/ArrayReflection.java	25	TermRef — runtime reflection does not exist on Scala.js / Native
eafe1425016b	portability(all)	java.lang.reflect.Array	sge.utils.reflect.ArrayReflection#set	../src/com/badlogic/gdx/utils/reflect/ArrayReflection.java	40	TermRef — runtime reflection does not exist on Scala.js / Native
c543a013b3f2	portability(all)	java.lang.reflect.Constructor	@46278#<init>(java.lang.reflect.Constructor)#constructor	../src/com/badlogic/gdx/utils/reflect/Constructor.java	27	Tycon — runtime reflection does not exist on Scala.js / Native
533dc52d938a	portability(all)	java.lang.reflect.Constructor	constructors	../src/com/badlogic/gdx/utils/reflect/ClassReflection.java	110	Tycon — runtime reflection does not exist on Scala.js / Native
b01114a868a7	portability(all)	java.lang.reflect.Constructor	sge.utils.reflect.ClassReflection#getConstructor	../src/com/badlogic/gdx/utils/reflect/ClassReflection.java	122	Tycon — runtime reflection does not exist on Scala.js / Native
88a110866c17	portability(all)	java.lang.reflect.Constructor	sge.utils.reflect.ClassReflection#getConstructors	../src/com/badlogic/gdx/utils/reflect/ClassReflection.java	113	Tycon — runtime reflection does not exist on Scala.js / Native
5f15bc858ebe	portability(all)	java.lang.reflect.Constructor	sge.utils.reflect.ClassReflection#getDeclaredConstructor	../src/com/badlogic/gdx/utils/reflect/ClassReflection.java	135	Tycon — runtime reflection does not exist on Scala.js / Native
a2fa8c88b6a0	portability(all)	java.lang.reflect.Constructor	sge.utils.reflect.Constructor#<init>	../src/com/badlogic/gdx/utils/reflect/Constructor.java	28	Tycon — runtime reflection does not exist on Scala.js / Native
3f7de38de056	portability(all)	java.lang.reflect.Constructor	sge.utils.reflect.Constructor#constructor	../src/com/badlogic/gdx/utils/reflect/Constructor.java	25	Tycon — runtime reflection does not exist on Scala.js / Native
46152b33bbcd	portability(all)	java.lang.reflect.Field	@45815#<init>(java.lang.reflect.Field)#field	../src/com/badlogic/gdx/utils/reflect/Field.java	30	MemberType — runtime reflection does not exist on Scala.js / Native
1f18f29da47d	portability(all)	java.lang.reflect.Field	comparableTimSortField	com/badlogic/gdx/utils/SortTest.java	107	MemberType — runtime reflection does not exist on Scala.js / Native
1f18f29da47d/2	portability(all)	java.lang.reflect.Field	comparableTimSortField	com/badlogic/gdx/utils/SortTest.java	118	MemberType — runtime reflection does not exist on Scala.js / Native
1f18f29da47d/3	portability(all)	java.lang.reflect.Field	comparableTimSortField	com/badlogic/gdx/utils/SortTest.java	128	MemberType — runtime reflection does not exist on Scala.js / Native
0360180143de	portability(all)	java.lang.reflect.Field	fields	../src/com/badlogic/gdx/utils/reflect/ClassReflection.java	194	TypeArg — runtime reflection does not exist on Scala.js / Native
0360180143de/2	portability(all)	java.lang.reflect.Field	fields	../src/com/badlogic/gdx/utils/reflect/ClassReflection.java	215	TypeArg — runtime reflection does not exist on Scala.js / Native
f6b568e6a46c	portability(all)	java.lang.reflect.Field	sge.utils.reflect.Field#field	../src/com/badlogic/gdx/utils/reflect/Field.java	28	MemberType — runtime reflection does not exist on Scala.js / Native
a40673a088be	portability(all)	java.lang.reflect.Field	timSortField	com/badlogic/gdx/utils/SortTest.java	138	MemberType — runtime reflection does not exist on Scala.js / Native
a40673a088be/2	portability(all)	java.lang.reflect.Field	timSortField	com/badlogic/gdx/utils/SortTest.java	154	MemberType — runtime reflection does not exist on Scala.js / Native
a40673a088be/3	portability(all)	java.lang.reflect.Field	timSortField	com/badlogic/gdx/utils/SortTest.java	170	MemberType — runtime reflection does not exist on Scala.js / Native
aa4ae95d8e3e	portability(all)	java.lang.reflect.GenericArrayType	componentType	../src/com/badlogic/gdx/utils/reflect/Field.java	115	TypeRefPos — runtime reflection does not exist on Scala.js / Native
334c8eed012e	portability(all)	java.lang.reflect.GenericArrayType	sge.utils.reflect.Field#getElementType	../src/com/badlogic/gdx/utils/reflect/Field.java	114	TypeRefPos — runtime reflection does not exist on Scala.js / Native
63aa085df2b0	portability(all)	java.lang.reflect.InvocationTargetException	e	../src/com/badlogic/gdx/utils/reflect/Constructor.java	61	MemberType — runtime reflection does not exist on Scala.js / Native
cb9d95ced403	portability(all)	java.lang.reflect.InvocationTargetException	e	../src/com/badlogic/gdx/utils/reflect/Method.java	113	MemberType — runtime reflection does not exist on Scala.js / Native
7a397598fb3a	portability(all)	java.lang.reflect.Method	@52806#<init>(java.lang.reflect.Method)#method	../src/com/badlogic/gdx/utils/reflect/Method.java	28	MemberType — runtime reflection does not exist on Scala.js / Native
1b25b54ef053	portability(all)	java.lang.reflect.Method	methods	../src/com/badlogic/gdx/utils/reflect/ClassReflection.java	150	TypeArg — runtime reflection does not exist on Scala.js / Native
1b25b54ef053/2	portability(all)	java.lang.reflect.Method	methods	../src/com/badlogic/gdx/utils/reflect/ClassReflection.java	172	TypeArg — runtime reflection does not exist on Scala.js / Native
17f5f3a81be1	portability(all)	java.lang.reflect.Method	sge.utils.reflect.Method#method	../src/com/badlogic/gdx/utils/reflect/Method.java	26	MemberType — runtime reflection does not exist on Scala.js / Native
421910593b85	portability(all)	java.lang.reflect.Modifier	sge.utils.reflect.ClassReflection#isAbstract	../src/com/badlogic/gdx/utils/reflect/ClassReflection.java	87	TermRef — runtime reflection does not exist on Scala.js / Native
e76310b2e298	portability(all)	java.lang.reflect.Modifier	sge.utils.reflect.ClassReflection#isStaticClass	../src/com/badlogic/gdx/utils/reflect/ClassReflection.java	57	TermRef — runtime reflection does not exist on Scala.js / Native
a0f7c32630bc	portability(all)	java.lang.reflect.Modifier	sge.utils.reflect.Field#isFinal	../src/com/badlogic/gdx/utils/reflect/Field.java	64	TermRef — runtime reflection does not exist on Scala.js / Native
c2cd97f66337	portability(all)	java.lang.reflect.Modifier	sge.utils.reflect.Field#isPrivate	../src/com/badlogic/gdx/utils/reflect/Field.java	69	TermRef — runtime reflection does not exist on Scala.js / Native
4c52ed65c78c	portability(all)	java.lang.reflect.Modifier	sge.utils.reflect.Field#isProtected	../src/com/badlogic/gdx/utils/reflect/Field.java	74	TermRef — runtime reflection does not exist on Scala.js / Native
43136120eaf4	portability(all)	java.lang.reflect.Modifier	sge.utils.reflect.Field#isPublic	../src/com/badlogic/gdx/utils/reflect/Field.java	79	TermRef — runtime reflection does not exist on Scala.js / Native
d148ab439e5f	portability(all)	java.lang.reflect.Modifier	sge.utils.reflect.Field#isStatic	../src/com/badlogic/gdx/utils/reflect/Field.java	84	TermRef — runtime reflection does not exist on Scala.js / Native
9f07b616adc9	portability(all)	java.lang.reflect.Modifier	sge.utils.reflect.Field#isTransient	../src/com/badlogic/gdx/utils/reflect/Field.java	89	TermRef — runtime reflection does not exist on Scala.js / Native
07fb533f169f	portability(all)	java.lang.reflect.Modifier	sge.utils.reflect.Field#isVolatile	../src/com/badlogic/gdx/utils/reflect/Field.java	94	TermRef — runtime reflection does not exist on Scala.js / Native
b5aab9304918	portability(all)	java.lang.reflect.Modifier	sge.utils.reflect.Method#isAbstract	../src/com/badlogic/gdx/utils/reflect/Method.java	62	TermRef — runtime reflection does not exist on Scala.js / Native
2f4fd4407745	portability(all)	java.lang.reflect.Modifier	sge.utils.reflect.Method#isFinal	../src/com/badlogic/gdx/utils/reflect/Method.java	72	TermRef — runtime reflection does not exist on Scala.js / Native
543944e65d8f	portability(all)	java.lang.reflect.Modifier	sge.utils.reflect.Method#isNative	../src/com/badlogic/gdx/utils/reflect/Method.java	92	TermRef — runtime reflection does not exist on Scala.js / Native
d4a4d2edda93	portability(all)	java.lang.reflect.Modifier	sge.utils.reflect.Method#isPrivate	../src/com/badlogic/gdx/utils/reflect/Method.java	77	TermRef — runtime reflection does not exist on Scala.js / Native
6dfe57c3af48	portability(all)	java.lang.reflect.Modifier	sge.utils.reflect.Method#isProtected	../src/com/badlogic/gdx/utils/reflect/Method.java	82	TermRef — runtime reflection does not exist on Scala.js / Native
5fcf197167cb	portability(all)	java.lang.reflect.Modifier	sge.utils.reflect.Method#isPublic	../src/com/badlogic/gdx/utils/reflect/Method.java	87	TermRef — runtime reflection does not exist on Scala.js / Native
2d2e91023635	portability(all)	java.lang.reflect.Modifier	sge.utils.reflect.Method#isStatic	../src/com/badlogic/gdx/utils/reflect/Method.java	97	TermRef — runtime reflection does not exist on Scala.js / Native
cc4afbdff45d	portability(all)	java.lang.reflect.ParameterizedType	actualTypes	../src/com/badlogic/gdx/utils/reflect/Field.java	107	TypeRefPos — runtime reflection does not exist on Scala.js / Native
c6d13b16cb22	portability(all)	java.lang.reflect.ParameterizedType	sge.utils.reflect.Field#getElementType	../src/com/badlogic/gdx/utils/reflect/Field.java	106	TypeRefPos — runtime reflection does not exist on Scala.js / Native
c6d13b16cb22/2	portability(all)	java.lang.reflect.ParameterizedType	sge.utils.reflect.Field#getElementType	../src/com/badlogic/gdx/utils/reflect/Field.java	112	TypeRefPos — runtime reflection does not exist on Scala.js / Native
c6d13b16cb22/3	portability(all)	java.lang.reflect.ParameterizedType	sge.utils.reflect.Field#getElementType	../src/com/badlogic/gdx/utils/reflect/Field.java	113	TypeRefPos — runtime reflection does not exist on Scala.js / Native
81f5a94dd146	portability(all)	java.lang.reflect.Type	actualType	../src/com/badlogic/gdx/utils/reflect/Field.java	109	MemberType — runtime reflection does not exist on Scala.js / Native
11c4f4a611a3	portability(all)	java.lang.reflect.Type	actualTypes	../src/com/badlogic/gdx/utils/reflect/Field.java	107	TypeArg — runtime reflection does not exist on Scala.js / Native
fb4d00d80e82	portability(all)	java.lang.reflect.Type	componentType	../src/com/badlogic/gdx/utils/reflect/Field.java	115	MemberType — runtime reflection does not exist on Scala.js / Native
