#check	count
base-surface	0
break-catch	0
catalog(consulted)	6
catalog(undischarged)	0
catalog(unmechanised)	112
catalog(unreached)	2
collection-boundary	12
collection-closure	0
collection-retarget	0
jdk-surface	0
manifest	0
markers	0
omissions	8
policy	0
port-map	0
portability(all)	1524
portability(emitted)	1467
portability(injected)	0
porter-notes	0
remediation	7
signature	0
substitution(dangling)	0
substitution(emitted)	0
switch-null	0
trivia	0
trivia(deliberate)	36
trivia(recovered)	21
try-resource	0
