file	origin	adjustment	why
sge/math/BezierTest.scala	sge/src/test/scala	new Bezier[V2](points*) -> Bezier[V2](points*) (companion apply)	F-bounded ctor cannot unify T; companion apply exists
sge/graphics/g3d/loader/ObjLoaderFanRedSuite.scala	sge/src/test/scalajvm	StringObjFileHandle gains (using Sge) clause	port's FileHandleStream requires Sge context
sge/graphics/g3d/particles/ParticleEffectIoRedSuite.scala	sge/src/test/scalajvm	MemoryFileHandle gains (using Sge) clause	port's FileHandleStream requires Sge context
sge/scenes/scene2d/ui/TableCellTest.scala	sge/src/test/scala	eq ascribed to AnyRef; assertEquals ascribed to Any	Nullable opaque lacks eq; opaque Float types differ
sge/input/GestureDetectorTest.scala	sge/src/test/scala	named params -> positional (5-arg ctor)	port's funnel renamed params to $p; no defaults
sge/graphics/glutils/VertexBufferObjectIss561Suite.scala	sge/src/test/scala	NoLocations typed Array[Int] not Array[AttributeLocation]	port's bind takes Array[Int]; opaque not propagated
sge/maps/tiled/TmjTileIdsCsvRedSuite.scala	sge/src/test/scala	excluded (empty class)	port's getTileIds takes JsonValue; sge redesigned to TmjLayerJson
sge/scenes/scene2d/ActorPropertyHookRedSuite.scala	sge/src/test/scala	override protected -> override (4 methods)	port widened positionChanged/sizeChanged/scaleChanged/rotationChanged to public
sge/scenes/scene2d/actions/ActionsCharacterizationTest.scala	sge/src/test/scala	override protected -> override (3 methods)	port widened begin/end/update to public
sge/scenes/scene2d/utils/SelectionChooseRedSuite.scala	sge/src/test/scala	override protected -> override (1 method)	port widened changed to public
sge/utils/FlushablePoolTest.scala	sge/src/test/scala	override protected val -> override val (2 vals)	port widened max/initialCapacity to public
sge/utils/PoolTest.scala	sge/src/test/scala	override protected val/def -> override val/def (3 members)	port widened max/initialCapacity/newObject to public
sge/scenes/scene2d/ui/LabelFontScaleRedSuite.scala	sge/src/test/scalajvm	override protected -> override (1 method)	port widened computePrefSize to public
sge/math/CumulativeDistributionTest.scala	sge/src/test/scala	CumulativeDistribution[Int] -> [java.lang.Integer]; .intValue unbox	port's T <: Object bound; sge dropped the bound
sge/graphics/g3d/particles/SaveDataCodecSuite.scala	sge/src/test/scala	load[Int] -> load[java.lang.Integer].map(_.intValue)	port's T <: Object bound; sge dropped the bound
sge/SgeTestFixture.scala	sge/src/test/scala	NoopApplication extends JavaLoggingApplication	port keeps Application logging surface; sge removed it
sge/AdapterDefaultsIss557RedSuite.scala	sge/src/test/scala	extends ApplicationListenerDefaults (2 inner classes)	port's ApplicationListener has no defaults
sge/DesktopConfigKnobsIss762FixSuite.scala	sge/src/test/scalajvm	extends ApplicationListenerDefaults	port's ApplicationListener has no defaults
sge/DesktopConfigKnobsIss762RedSuite.scala	sge/src/test/scalajvm	extends ApplicationListenerDefaults	port's ApplicationListener has no defaults
sge/DesktopCustomCursorIss764RedSuite.scala	sge/src/test/scalajvm	extends ApplicationListenerDefaults	port's ApplicationListener has no defaults
sge/DesktopErrorCallbackOrderingIss807RedSuite.scala	sge/src/test/scalajvm	extends ApplicationListenerDefaults	port's ApplicationListener has no defaults
sge/DesktopFullscreenIss759FixSuite.scala	sge/src/test/scalajvm	extends ApplicationListenerDefaults	port's ApplicationListener has no defaults
sge/DesktopFullscreenIss759RedSuite.scala	sge/src/test/scalajvm	extends ApplicationListenerDefaults	port's ApplicationListener has no defaults
sge/graphics/g3d/decals/DecalSortRebindRedSuite.scala	sge/src/test/scalajvm	extends ApplicationListenerDefaults	port's ApplicationListener has no defaults
sge/graphics/g3d/decals/DecalSortRedSuite.scala	sge/src/test/scalajvm	extends ApplicationListenerDefaults	port's ApplicationListener has no defaults
sge/graphics/DownloadPixmapRedSuite.scala	sge/src/test/scalajvm	extends JavaLoggingApplication	port keeps Application logging surface; sge removed it
sge/utils/TimerWakeupRedSuite.scala	sge/src/test/scalajvm	extends JavaLoggingApplication	port keeps Application logging surface; sge removed it
sge/graphics/g2d/BitmapFontRegionsAndGlyphMetricIss734RedSuite.scala	sge/src/test/scalajvm	added def type = Custom	port's TextureData.type is abstract; sge renamed to dataType
sge/graphics/g2d/PolygonSpriteBatchRedSuite.scala	sge/src/test/scalajvm	added def type = Custom	port's TextureData.type is abstract; sge renamed to dataType
sge/graphics/g2d/SpriteBatchBlendingToggleIss734RedSuite.scala	sge/src/test/scalajvm	added def type = Custom	port's TextureData.type is abstract; sge renamed to dataType
sge/graphics/g2d/SpriteBatchVertexGeometryISS561Suite.scala	sge/src/test/scalajvm	added def type = Custom	port's TextureData.type is abstract; sge renamed to dataType
sge/graphics/g2d/SpriteCacheRedSuite.scala	sge/src/test/scalajvm	added def type = Custom	port's TextureData.type is abstract; sge renamed to dataType
sge/graphics/g2d/SpriteCacheRedefineRedSuite.scala	sge/src/test/scalajvm	added def type = Custom	port's TextureData.type is abstract; sge renamed to dataType
